name;food_tags;mood_tags;address;neighborhood;latitude;longitude;rating;reviews_count;price_level;phone;website;hours;permanently_closed;temporarily_closed;maps url;status
Impact Roasters;Coffee;Cafe;Grøndals Parkvej 81, 2720 Frederiksberg;Vanløse;55.6856618;12.4987614;4.9;182;;20 83 94 75;http://impactroasters.dk/;Closed · Opens 7.00 am Mon;No;No;https://www.google.com/maps/place/Impact+Roasters/data=!4m2!3m1!1s0x4652534d1f3618c7:0xef5fd492abb95000;success
io いほ;Tea;"Cafe; Shop";Blågårdsgade 15, st, th, 2200 København;Nørrebro;55.6868352;12.5588316;4.9;79;;30 29 58 02;http://www.io-te.dk/;Closed · Opens 12.00 pm Tue;No;No;https://www.google.com/maps/place/io+%E3%81%84%E3%81%BB/data=!4m2!3m1!1s0x465253fc60a5685f:0xc23aa7bc1d18dd7;success
Ipsen & Co;Brunch;Cafe;Gl. Kongevej 108, 1878 Frederiksberg C;Frederiksberg;55.6760018;12.5438388;4.4;463;;;http://www.ipsenogco.dk/;Closed · Opens 8.00 am Mon;No;No;https://www.google.com/maps/place/Ipsen+%26+Co/data=!4m2!3m1!1s0x465253a2297df8ab:0x5913001be8a22239;success
Ismageriet;Ice Cream;"Cafe; Al Fresco";Flæsketorvet 45, 1711 København;Vesterbro;55.6681397;12.5605473;4.7;794;;60 60 10 40;https://ismageriet.dk/pages/isbutik-kodbyen?utm_source=googlebusinessprofile&utm_medium=organic;Open · Closes 11.30 pm;No;No;https://www.google.com/maps/place/Ismageriet/data=!4m2!3m1!1s0x465253bff8d7cdb5:0x22a64338cf4e1b96;success
Ismageriet;Ice Cream;Cafe;Rued Langgaards Vej 6e, 2300 København;Amager;55.6603249;12.5916172;4.7;3,416;;60 60 10 40;https://ismageriet.dk/pages/isbutik-amager?utm_source=googlebusinessprofile&utm_medium=organic;;No;No;https://www.google.com/maps/place/Ismageriet/data=!4m2!3m1!1s0x465254b1b823aab5:0xefd2f5dea6643952;success
Istid;Ice Cream;Take Away;Jægersborggade 13, 2200 København;Nørrebro;55.691979;12.5447886;4.6;410;;61 31 18 34;http://www.istid.dk/;Temporarily closed;No;Yes;https://www.google.com/maps/place/Istid/data=!4m2!3m1!1s0x465253ad947c30f1:0xd1ef3229d55a79d5;success
Judie;Smørrebrod;Restaurant;Nyhavn 26, 1051 København K;Indre By;55.6796758;12.5906338;4.5;144;;61 47 17 44;https://www.judienyhavn.dk/;Closed · Opens 11.30 am Mon;No;No;https://www.google.com/maps/place/Judie/data=!4m2!3m1!1s0x465253bf46c2d5bd:0x387f06f8005cd884;success
Juno;"Fastelavnsbolle; Pastry";Bakery;Århusgade 48, 2100 København;Østerbro;55.7061815;12.5818152;4.7;3,707;;;https://www.junothebakery.com/;Closed · Opens 7.30 am Tue;No;No;https://www.google.com/maps/place/Juno+the+bakery/data=!4m2!3m1!1s0x465252f035a89c17:0x11c1cda65903316;success
Ka'nalu;Coffee;"Cafe; Al Fresco";Skovvej 52, 2635 Ishøj;Ishøj;55.6038072;12.3853948;4.2;987;;31 41 02 13;https://kanalu.dk/;Closed · Opens 10.00 am Tue;No;No;https://www.google.com/maps/place/Ka'nalu+Cafe/data=!4m2!3m1!1s0x4652564b38b43f8f:0xe7478822fb7d2cff;success
Kadeau;New Nordic;Restaurant;Wildersgade 10B, 1408 København;Indre By;55.6722944;12.5889809;4.7;486;;33 25 22 23;http://kadeau.dk/;Closed · Opens 6.00 pm Tue;No;No;https://www.google.com/maps/place/Kadeau/data=!4m2!3m1!1s0x4652539931768ed5:0xf58758d8147839b8;success
